Tipo, desayuno, almuerzo, cena
Dieta Atkins,Huevos revueltos con espinacas,Ensalada de pollo con aguacate,Filete de salmón con espárragos
Dieta Mediterránea,Yogur con frutas y almendras,Wrap de pavo y espinacas,Paella de mariscos
Dieta Vegana,Smoothie de fresas y plátano,Ensalada de lentejas y aguacate,Curry de garbanzos con arroz integral
Dieta Cetogénica,Avena con crema de coco y nueces,Sándwich de aguacate y salmón,Chuletas de cerdo con brócoli al vapor
Dieta Paleo,Huevos cocidos con aguacate,Ensalada de pollo y almendras,Estofado de carne con batatas
Dieta Flexitariana,Batido de proteínas con espinacas,Tortilla de champiñones y queso,Ensalada de quinoa con aguacate
Dieta DASH,Parfait de yogur y bayas,Wrap de pollo y aguacate,Filete de tilapia con espinacas
Dieta Whole30,Tostadas de batata con aguacate,Ensalada de atún con huevo duro,Pollo al horno con espárragos
Dieta Macrobiótica,Pancakes de avena con arándanos,Sopa de miso con tofu y algas,Rollitos de pescado con arroz integral
Dieta sin Gluten,Batido verde con espinacas y piña,Sándwich de pavo y queso sin gluten,Ensalada de quinoa con aguacate y huevo pochadoNose
Dieta sin Gluten,Batido verde con espinacas y piña,Sándwich de pavo y queso sin gluten,Ensalada de quinoa con aguacate y huevo pochado
